Subject,Model,Accuracy
3,EEGNetv1,32.64
3,EEGNetv1,31.6
3,EEGNetv1,30.9
3,EEGNetv1,32.99
3,EEGNetv1,32.99
3,EEGNetv1,32.99
3,EEGNetv1,32.99
3,EEGNetv1,27.43
3,EEGNetv1,34.38
3,EEGNetv1,36.11
3,EEGNetv1,38.19
3,EEGNetv1,33.33
3,EEGNetv1,34.72
3,EEGNetv1,36.81
3,EEGNetv1,42.36
3,EEGNetv1,39.58
3,EEGNetv1,40.97
3,EEGNetv1,45.14
3,EEGNetv1,35.76
3,EEGNetv1,37.5
3,EEGNetv1,42.01
3,EEGNetv1,46.88
3,EEGNetv1,38.54
3,EEGNetv1,45.49
3,EEGNetv1,40.97
3,EEGNetv1,42.71
3,EEGNetv1,42.36
3,EEGNetv1,47.92
3,EEGNetv1,44.44
3,EEGNetv1,48.26
3,EEGNetv1,48.96
3,EEGNetv1,46.53
3,EEGNetv1,48.61
3,EEGNetv1,51.74
3,EEGNetv1,52.78
3,EEGNetv1,52.08
3,EEGNetv1,53.47
3,EEGNetv1,52.43
3,EEGNetv1,53.12
3,EEGNetv1,52.08
3,EEGNetv1,54.86
3,EEGNetv1,55.21
3,EEGNetv1,56.94
3,EEGNetv1,53.47
3,EEGNetv1,57.29
3,EEGNetv1,52.08
3,EEGNetv1,57.64
3,EEGNetv1,60.42
3,EEGNetv1,60.07
3,EEGNetv1,57.64
3,EEGNetv1,63.89
3,EEGNetv1,62.15
3,EEGNetv1,62.85
3,EEGNetv1,65.28
3,EEGNetv1,66.67
3,EEGNetv1,67.01
3,EEGNetv1,63.89
3,EEGNetv1,64.24
3,EEGNetv1,61.81
3,EEGNetv1,65.62
3,EEGNetv1,67.01
3,EEGNetv1,63.54
3,EEGNetv1,67.01
3,EEGNetv1,67.36
3,EEGNetv1,68.06
3,EEGNetv1,69.44
3,EEGNetv1,66.32
3,EEGNetv1,68.4
3,EEGNetv1,68.75
3,EEGNetv1,70.14
3,EEGNetv1,71.18
3,EEGNetv1,71.53
3,EEGNetv1,72.22
3,EEGNetv1,72.92
3,EEGNetv1,71.53
3,EEGNetv1,71.88
3,EEGNetv1,72.57
3,EEGNetv1,72.57
3,EEGNetv1,72.57
3,EEGNetv1,72.22
3,EEGNetv1,72.57
3,EEGNetv1,72.22
3,EEGNetv1,72.22
3,EEGNetv1,72.57
3,EEGNetv1,71.88
3,EEGNetv1,72.22
3,EEGNetv1,71.88
3,EEGNetv1,71.88
3,EEGNetv1,72.22
3,EEGNetv1,72.57
3,EEGNetv1,72.57
4,EEGNetv1,25.0
4,EEGNetv1,25.0
4,EEGNetv1,25.0
4,EEGNetv1,25.0
4,EEGNetv1,25.0
4,EEGNetv1,25.35
4,EEGNetv1,25.35
4,EEGNetv1,25.69
4,EEGNetv1,25.0
4,EEGNetv1,26.04
4,EEGNetv1,26.74
4,EEGNetv1,28.12
4,EEGNetv1,26.39
4,EEGNetv1,30.21
4,EEGNetv1,27.43
4,EEGNetv1,27.43
4,EEGNetv1,27.78
4,EEGNetv1,29.86
4,EEGNetv1,28.47
4,EEGNetv1,27.43
4,EEGNetv1,25.69
4,EEGNetv1,27.43
4,EEGNetv1,29.17
4,EEGNetv1,27.78
4,EEGNetv1,28.47
4,EEGNetv1,25.0
4,EEGNetv1,30.56
4,EEGNetv1,29.17
4,EEGNetv1,25.69
4,EEGNetv1,24.65
4,EEGNetv1,25.35
4,EEGNetv1,25.0
4,EEGNetv1,25.35
4,EEGNetv1,25.69
4,EEGNetv1,25.69
5,EEGNetv1,25.0
5,EEGNetv1,25.0
5,EEGNetv1,22.22
5,EEGNetv1,24.65
5,EEGNetv1,25.0
5,EEGNetv1,24.65
5,EEGNetv1,26.04
5,EEGNetv1,25.35
5,EEGNetv1,25.69
5,EEGNetv1,26.04
5,EEGNetv1,26.04
5,EEGNetv1,27.08
5,EEGNetv1,25.0
5,EEGNetv1,26.04
5,EEGNetv1,26.04
5,EEGNetv1,25.0
5,EEGNetv1,30.9
5,EEGNetv1,26.74
5,EEGNetv1,27.78
5,EEGNetv1,28.47
5,EEGNetv1,27.43
5,EEGNetv1,25.35
5,EEGNetv1,25.0
5,EEGNetv1,26.39
5,EEGNetv1,22.92
5,EEGNetv1,25.0
5,EEGNetv1,25.69
5,EEGNetv1,25.35
5,EEGNetv1,25.35
5,EEGNetv1,26.04
5,EEGNetv1,24.31
5,EEGNetv1,26.04
5,EEGNetv1,23.96
5,EEGNetv1,28.47
5,EEGNetv1,26.39
5,EEGNetv1,27.43
6,EEGNetv1,25.0
6,EEGNetv1,25.0
6,EEGNetv1,25.0
6,EEGNetv1,25.0
6,EEGNetv1,25.0
6,EEGNetv1,23.61
6,EEGNetv1,23.96
6,EEGNetv1,25.0
6,EEGNetv1,28.12
6,EEGNetv1,25.0
6,EEGNetv1,27.43
6,EEGNetv1,26.74
6,EEGNetv1,24.65
6,EEGNetv1,24.65
6,EEGNetv1,24.31
6,EEGNetv1,26.39
6,EEGNetv1,24.65
6,EEGNetv1,25.35
6,EEGNetv1,29.51
6,EEGNetv1,28.82
6,EEGNetv1,29.86
6,EEGNetv1,27.78
6,EEGNetv1,27.78
6,EEGNetv1,29.51
6,EEGNetv1,29.17
6,EEGNetv1,27.08
6,EEGNetv1,26.74
6,EEGNetv1,27.08
6,EEGNetv1,26.74
6,EEGNetv1,27.08
6,EEGNetv1,27.08
6,EEGNetv1,27.43
6,EEGNetv1,28.47
6,EEGNetv1,27.43
6,EEGNetv1,26.74
6,EEGNetv1,27.43
6,EEGNetv1,27.08
6,EEGNetv1,28.12
6,EEGNetv1,27.78
6,EEGNetv1,25.69
6,EEGNetv1,28.82
6,EEGNetv1,27.43
7,EEGNetv1,27.43
7,EEGNetv1,25.0
7,EEGNetv1,25.0
7,EEGNetv1,26.39
7,EEGNetv1,25.69
7,EEGNetv1,22.22
7,EEGNetv1,27.08
7,EEGNetv1,25.0
7,EEGNetv1,25.0
7,EEGNetv1,30.9
7,EEGNetv1,32.29
7,EEGNetv1,24.31
7,EEGNetv1,23.96
7,EEGNetv1,26.74
7,EEGNetv1,25.35
7,EEGNetv1,24.31
7,EEGNetv1,24.65
7,EEGNetv1,25.0
7,EEGNetv1,23.61
7,EEGNetv1,24.65
7,EEGNetv1,24.65
7,EEGNetv1,29.86
7,EEGNetv1,24.65
7,EEGNetv1,21.88
7,EEGNetv1,24.31
7,EEGNetv1,25.0
7,EEGNetv1,29.86
7,EEGNetv1,23.61
7,EEGNetv1,30.21
7,EEGNetv1,30.21
7,EEGNetv1,26.74
7,EEGNetv1,27.08
7,EEGNetv1,27.78
7,EEGNetv1,28.12
7,EEGNetv1,29.17
7,EEGNetv1,30.21
7,EEGNetv1,28.12
7,EEGNetv1,27.78
7,EEGNetv1,29.86
7,EEGNetv1,30.56
7,EEGNetv1,32.99
7,EEGNetv1,31.25
7,EEGNetv1,33.33
7,EEGNetv1,32.99
7,EEGNetv1,30.21
7,EEGNetv1,33.68
7,EEGNetv1,30.9
7,EEGNetv1,30.9
7,EEGNetv1,32.64
7,EEGNetv1,31.25
7,EEGNetv1,32.29
7,EEGNetv1,31.6
7,EEGNetv1,29.86
7,EEGNetv1,32.64
7,EEGNetv1,34.03
7,EEGNetv1,34.03
7,EEGNetv1,32.64
7,EEGNetv1,33.68
8,EEGNetv1,25.0
8,EEGNetv1,26.39
8,EEGNetv1,29.17
8,EEGNetv1,31.6
8,EEGNetv1,25.69
8,EEGNetv1,27.08
8,EEGNetv1,26.39
8,EEGNetv1,32.64
8,EEGNetv1,33.33
8,EEGNetv1,31.25
8,EEGNetv1,34.03
8,EEGNetv1,28.47
8,EEGNetv1,31.25
8,EEGNetv1,30.9
8,EEGNetv1,32.99
8,EEGNetv1,39.58
8,EEGNetv1,39.58
8,EEGNetv1,45.83
8,EEGNetv1,45.83
8,EEGNetv1,44.1
8,EEGNetv1,44.1
8,EEGNetv1,48.61
8,EEGNetv1,48.26
8,EEGNetv1,43.06
8,EEGNetv1,42.36
8,EEGNetv1,38.54
8,EEGNetv1,40.62
8,EEGNetv1,42.01
8,EEGNetv1,44.1
8,EEGNetv1,50.35
8,EEGNetv1,48.61
8,EEGNetv1,46.53
8,EEGNetv1,45.49
8,EEGNetv1,51.04
8,EEGNetv1,45.14
8,EEGNetv1,47.57
8,EEGNetv1,48.96
8,EEGNetv1,53.12
8,EEGNetv1,53.12
8,EEGNetv1,52.78
8,EEGNetv1,50.69
8,EEGNetv1,54.51
8,EEGNetv1,53.12
8,EEGNetv1,54.86
8,EEGNetv1,55.21
8,EEGNetv1,54.17
8,EEGNetv1,55.21
8,EEGNetv1,53.82
8,EEGNetv1,55.21
8,EEGNetv1,54.51
8,EEGNetv1,55.56
8,EEGNetv1,52.78
8,EEGNetv1,53.82
8,EEGNetv1,55.21
8,EEGNetv1,54.17
8,EEGNetv1,49.65
8,EEGNetv1,51.04
8,EEGNetv1,48.96
8,EEGNetv1,49.31
8,EEGNetv1,49.31
8,EEGNetv1,51.39
8,EEGNetv1,52.08
9,EEGNetv1,25.35
9,EEGNetv1,25.0
9,EEGNetv1,25.0
9,EEGNetv1,25.0
9,EEGNetv1,33.33
9,EEGNetv1,25.0
9,EEGNetv1,25.0
9,EEGNetv1,25.0
9,EEGNetv1,25.0
9,EEGNetv1,29.86
9,EEGNetv1,30.56
9,EEGNetv1,32.64
9,EEGNetv1,37.85
9,EEGNetv1,41.67
9,EEGNetv1,38.54
9,EEGNetv1,44.79
9,EEGNetv1,43.06
9,EEGNetv1,48.61
9,EEGNetv1,48.26
9,EEGNetv1,47.57
9,EEGNetv1,54.51
9,EEGNetv1,52.78
9,EEGNetv1,50.35
9,EEGNetv1,56.94
9,EEGNetv1,47.57
9,EEGNetv1,51.04
9,EEGNetv1,55.21
9,EEGNetv1,55.9
9,EEGNetv1,58.68
9,EEGNetv1,55.56
9,EEGNetv1,59.72
9,EEGNetv1,60.76
9,EEGNetv1,60.76
9,EEGNetv1,53.82
9,EEGNetv1,51.04
9,EEGNetv1,50.35
9,EEGNetv1,52.43
9,EEGNetv1,56.94
9,EEGNetv1,59.03
9,EEGNetv1,60.07
9,EEGNetv1,58.33
9,EEGNetv1,63.19
9,EEGNetv1,61.46
9,EEGNetv1,61.11
9,EEGNetv1,62.85
9,EEGNetv1,62.5
9,EEGNetv1,61.11
9,EEGNetv1,63.19
9,EEGNetv1,59.38
9,EEGNetv1,61.81
9,EEGNetv1,62.85
9,EEGNetv1,63.89
9,EEGNetv1,66.32
9,EEGNetv1,64.93
9,EEGNetv1,64.58
9,EEGNetv1,65.62
9,EEGNetv1,65.97
9,EEGNetv1,63.54
9,EEGNetv1,65.97
9,EEGNetv1,66.67
9,EEGNetv1,65.97
9,EEGNetv1,64.58
9,EEGNetv1,64.24
9,EEGNetv1,62.5
9,EEGNetv1,63.19
9,EEGNetv1,65.28
9,EEGNetv1,64.93
9,EEGNetv1,64.24
9,EEGNetv1,65.28
9,EEGNetv1,63.54
9,EEGNetv1,65.62
9,EEGNetv1,66.32
